subject,session,task
sub-s061,ses-1,task-CCTHot
sub-s061,ses-1,task-WATT3
sub-s061,ses-1,task-stopSignal
sub-s061,ses-1,task-twoByTwo
sub-s061,ses-2,task-DPX
sub-s061,ses-2,task-discountFix
sub-s061,ses-2,task-motorSelectiveStop
sub-s061,ses-2,task-stroop
sub-s130,ses-1,task-motorSelectiveStop
sub-s130,ses-1,task-stroop
sub-s130,ses-2,task-ANT
sub-s130,ses-2,task-CCTHot
sub-s130,ses-2,task-WATT3
sub-s130,ses-2,task-stopSignal
sub-s130,ses-2,task-twoByTwo
sub-s144,ses-1,task-WATT3
sub-s172,ses-1,task-DPX
sub-s172,ses-1,task-discountFix
sub-s172,ses-1,task-motorSelectiveStop
sub-s172,ses-1,task-stroop
sub-s172,ses-2,task-ANT
sub-s172,ses-2,task-CCTHot
sub-s172,ses-2,task-WATT3
sub-s172,ses-2,task-stopSignal
sub-s172,ses-2,task-twoByTwo
sub-s192,ses-1,task-DPX
sub-s192,ses-1,task-discountFix
sub-s192,ses-1,task-motorSelectiveStop
sub-s192,ses-1,task-stroop
sub-s192,ses-2,task-ANT
sub-s192,ses-2,task-CCTHot
sub-s192,ses-2,task-WATT3
sub-s192,ses-2,task-stopSignal
sub-s192,ses-2,task-twoByTwo
sub-s234,ses-1,task-CCTHot
sub-s234,ses-1,task-WATT3
sub-s234,ses-1,task-stopSignal
sub-s234,ses-1,task-twoByTwo
sub-s234,ses-2,task-DPX
sub-s234,ses-2,task-discountFix
sub-s234,ses-2,task-motorSelectiveStop
sub-s234,ses-2,task-stroop
sub-s251,ses-1,task-ANT
sub-s251,ses-1,task-CCTHot
sub-s251,ses-1,task-WATT3
sub-s251,ses-1,task-stopSignal
sub-s251,ses-2,task-motorSelectiveStop
sub-s358,ses-1,task-ANT
sub-s358,ses-1,task-CCTHot
sub-s358,ses-1,task-WATT3
sub-s358,ses-1,task-twoByTwo
sub-s358,ses-2,task-stroop
sub-s373,ses-1,task-WATT3
sub-s445,ses-2,task-WATT3
sub-s465,ses-1,task-ANT
sub-s465,ses-1,task-CCTHot
sub-s465,ses-1,task-WATT3
sub-s465,ses-1,task-stopSignal
sub-s465,ses-1,task-twoByTwo
sub-s465,ses-2,task-DPX
sub-s465,ses-2,task-discountFix
sub-s465,ses-2,task-motorSelectiveStop
sub-s465,ses-2,task-stroop
sub-s471,ses-1,task-ANT
sub-s471,ses-1,task-WATT3
sub-s471,ses-1,task-stopSignal
sub-s471,ses-1,task-twoByTwo
sub-s471,ses-2,task-discountFix
sub-s471,ses-2,task-motorSelectiveStop
sub-s471,ses-2,task-stroop
sub-s483,ses-1,task-DPX
sub-s483,ses-1,task-discountFix
sub-s483,ses-1,task-motorSelectiveStop
sub-s483,ses-2,task-ANT
sub-s483,ses-2,task-CCTHot
sub-s483,ses-2,task-WATT3
sub-s483,ses-2,task-stopSignal
sub-s483,ses-2,task-twoByTwo
sub-s491,ses-1,task-ANT
sub-s491,ses-1,task-WATT3
sub-s491,ses-1,task-stopSignal
sub-s491,ses-1,task-twoByTwo
sub-s491,ses-2,task-DPX
sub-s491,ses-2,task-discountFix
sub-s491,ses-2,task-motorSelectiveStop
sub-s491,ses-2,task-stroop
sub-s495,ses-1,task-ANT
sub-s495,ses-1,task-CCTHot
sub-s495,ses-1,task-WATT3
sub-s495,ses-1,task-stopSignal
sub-s495,ses-1,task-twoByTwo
sub-s495,ses-2,task-DPX
sub-s495,ses-2,task-discountFix
sub-s495,ses-2,task-motorSelectiveStop
sub-s495,ses-2,task-stroop
sub-s497,ses-1,task-stroop
sub-s497,ses-2,task-ANT
sub-s497,ses-2,task-CCTHot
sub-s497,ses-2,task-WATT3
sub-s497,ses-2,task-stopSignal
sub-s497,ses-2,task-twoByTwo
sub-s499,ses-1,task-WATT3
sub-s512,ses-1,task-DPX
sub-s512,ses-1,task-stroop
sub-s513,ses-1,task-ANT
sub-s513,ses-1,task-CCTHot
sub-s513,ses-1,task-WATT3
sub-s513,ses-1,task-stopSignal
sub-s513,ses-1,task-twoByTwo
sub-s513,ses-2,task-DPX
sub-s513,ses-3,task-discountFix
sub-s513,ses-3,task-motorSelectiveStop
sub-s513,ses-3,task-stroop
sub-s518,ses-1,task-DPX
sub-s518,ses-1,task-discountFix
sub-s518,ses-1,task-motorSelectiveStop
sub-s518,ses-1,task-stroop
sub-s518,ses-2,task-ANT
sub-s518,ses-2,task-CCTHot
sub-s518,ses-2,task-WATT3
sub-s518,ses-2,task-stopSignal
sub-s518,ses-2,task-twoByTwo
sub-s519,ses-1,task-ANT
sub-s519,ses-1,task-CCTHot
sub-s519,ses-1,task-WATT3
sub-s519,ses-1,task-stopSignal
sub-s519,ses-1,task-twoByTwo
sub-s519,ses-2,task-DPX
sub-s519,ses-2,task-discountFix
sub-s519,ses-2,task-stroop
sub-s524,ses-1,task-DPX
sub-s524,ses-1,task-discountFix
sub-s524,ses-1,task-motorSelectiveStop
sub-s524,ses-1,task-stroop
sub-s524,ses-2,task-ANT
sub-s524,ses-2,task-CCTHot
sub-s524,ses-2,task-WATT3
sub-s524,ses-2,task-stopSignal
sub-s524,ses-2,task-twoByTwo
sub-s525,ses-1,task-DPX
sub-s525,ses-1,task-discountFix
sub-s525,ses-1,task-motorSelectiveStop
sub-s525,ses-1,task-stroop
sub-s525,ses-2,task-ANT
sub-s525,ses-2,task-CCTHot
sub-s525,ses-2,task-WATT3
sub-s525,ses-2,task-stopSignal
sub-s525,ses-2,task-twoByTwo
sub-s526,ses-1,task-DPX
sub-s526,ses-1,task-discountFix
sub-s526,ses-1,task-motorSelectiveStop
sub-s526,ses-1,task-stroop
sub-s526,ses-2,task-ANT
sub-s526,ses-2,task-CCTHot
sub-s526,ses-2,task-WATT3
sub-s526,ses-2,task-stopSignal
sub-s526,ses-2,task-twoByTwo
sub-s533,ses-1,task-WATT3
sub-s541,ses-1,task-ANT
sub-s541,ses-1,task-CCTHot
sub-s541,ses-1,task-WATT3
sub-s541,ses-1,task-stopSignal
sub-s541,ses-1,task-twoByTwo
sub-s541,ses-2,task-stroop
sub-s546,ses-1,task-ANT
sub-s546,ses-1,task-CCTHot
sub-s546,ses-1,task-WATT3
sub-s546,ses-1,task-stopSignal
sub-s546,ses-1,task-twoByTwo
sub-s546,ses-2,task-DPX
sub-s546,ses-2,task-discountFix
sub-s546,ses-2,task-motorSelectiveStop
sub-s546,ses-2,task-stroop
sub-s548,ses-1,task-DPX
sub-s548,ses-1,task-discountFix
sub-s548,ses-1,task-stroop
sub-s548,ses-2,task-ANT
sub-s548,ses-2,task-CCTHot
sub-s548,ses-2,task-WATT3
sub-s548,ses-2,task-stopSignal
sub-s548,ses-2,task-twoByTwo
sub-s549,ses-1,task-DPX
sub-s549,ses-1,task-discountFix
sub-s549,ses-1,task-stroop
sub-s549,ses-2,task-CCTHot
sub-s549,ses-2,task-WATT3
sub-s549,ses-2,task-stopSignal
sub-s549,ses-2,task-twoByTwo
sub-s553,ses-2,task-WATT3
sub-s554,ses-1,task-ANT
sub-s554,ses-1,task-CCTHot
sub-s554,ses-1,task-WATT3
sub-s554,ses-1,task-stopSignal
sub-s554,ses-1,task-twoByTwo
sub-s554,ses-2,task-discountFix
sub-s554,ses-2,task-motorSelectiveStop
sub-s554,ses-2,task-stroop
sub-s555,ses-1,task-ANT
sub-s555,ses-1,task-CCTHot
sub-s555,ses-1,task-WATT3
sub-s555,ses-1,task-stopSignal
sub-s555,ses-1,task-twoByTwo
sub-s555,ses-2,task-DPX
sub-s555,ses-2,task-discountFix
sub-s555,ses-2,task-motorSelectiveStop
sub-s555,ses-2,task-stroop
sub-s556,ses-1,task-ANT
sub-s556,ses-1,task-CCTHot
sub-s556,ses-1,task-WATT3
sub-s556,ses-1,task-twoByTwo
sub-s556,ses-2,task-DPX
sub-s556,ses-2,task-discountFix
sub-s556,ses-2,task-motorSelectiveStop
sub-s556,ses-2,task-stroop
sub-s557,ses-1,task-DPX
sub-s557,ses-1,task-discountFix
sub-s557,ses-1,task-stroop
sub-s557,ses-2,task-ANT
sub-s557,ses-2,task-CCTHot
sub-s557,ses-2,task-WATT3
sub-s557,ses-2,task-stopSignal
sub-s557,ses-2,task-twoByTwo
sub-s558,ses-1,task-stroop
sub-s558,ses-2,task-ANT
sub-s558,ses-2,task-CCTHot
sub-s558,ses-2,task-WATT3
sub-s558,ses-2,task-stopSignal
sub-s558,ses-2,task-twoByTwo
sub-s561,ses-1,task-discountFix
sub-s561,ses-1,task-motorSelectiveStop
sub-s561,ses-1,task-stroop
sub-s561,ses-2,task-ANT
sub-s561,ses-2,task-CCTHot
sub-s561,ses-2,task-WATT3
sub-s561,ses-2,task-stopSignal
sub-s561,ses-2,task-twoByTwo
sub-s567,ses-1,task-ANT
sub-s567,ses-1,task-CCTHot
sub-s567,ses-1,task-WATT3
sub-s567,ses-1,task-stopSignal
sub-s567,ses-2,task-DPX
sub-s567,ses-2,task-discountFix
sub-s567,ses-2,task-motorSelectiveStop
sub-s567,ses-2,task-stroop
sub-s568,ses-1,task-ANT
sub-s568,ses-1,task-CCTHot
sub-s568,ses-1,task-WATT3
sub-s568,ses-1,task-stopSignal
sub-s568,ses-1,task-twoByTwo
sub-s568,ses-2,task-DPX
sub-s568,ses-2,task-discountFix
sub-s568,ses-2,task-motorSelectiveStop
sub-s568,ses-2,task-stroop
sub-s570,ses-1,task-ANT
sub-s570,ses-1,task-CCTHot
sub-s570,ses-1,task-WATT3
sub-s570,ses-1,task-stopSignal
sub-s570,ses-1,task-twoByTwo
sub-s570,ses-2,task-DPX
sub-s570,ses-2,task-discountFix
sub-s570,ses-2,task-stroop
sub-s572,ses-1,task-DPX
sub-s572,ses-1,task-motorSelectiveStop
sub-s572,ses-1,task-stroop
sub-s572,ses-2,task-ANT
sub-s572,ses-2,task-CCTHot
sub-s572,ses-2,task-WATT3
sub-s572,ses-2,task-stopSignal
sub-s572,ses-2,task-twoByTwo
sub-s573,ses-1,task-DPX
sub-s573,ses-1,task-discountFix
sub-s573,ses-1,task-motorSelectiveStop
sub-s573,ses-1,task-stroop
sub-s573,ses-2,task-ANT
sub-s573,ses-2,task-WATT3
sub-s573,ses-2,task-stopSignal
sub-s573,ses-2,task-twoByTwo
sub-s574,ses-1,task-DPX
sub-s574,ses-1,task-discountFix
sub-s574,ses-1,task-stroop
sub-s574,ses-2,task-ANT
sub-s574,ses-2,task-CCTHot
sub-s574,ses-2,task-stopSignal
sub-s574,ses-2,task-twoByTwo
sub-s577,ses-1,task-ANT
sub-s577,ses-1,task-CCTHot
sub-s577,ses-1,task-WATT3
sub-s577,ses-1,task-stopSignal
sub-s577,ses-1,task-twoByTwo
sub-s577,ses-2,task-DPX
sub-s577,ses-2,task-discountFix
sub-s577,ses-2,task-stroop
sub-s579,ses-1,task-ANT
sub-s579,ses-1,task-CCTHot
sub-s579,ses-1,task-stopSignal
sub-s579,ses-1,task-twoByTwo
sub-s579,ses-2,task-DPX
sub-s579,ses-2,task-discountFix
sub-s579,ses-2,task-motorSelectiveStop
